dsn/wads2007,2007,Critical Infrastructures,The CRUTIAL Architecture for Critical Information Infrastructures.,Paulo Veríssimo;Nuno Ferreira Neves;Miguel Correia;Yves Deswarte;Anas Abou El Kalam;Andrea Bondavalli;Alessandro Daidone;,https://doi.org/10.1007/978-3-540-85571-2_1
dsn/wads2007,2007,Critical Infrastructures,A Middleware Improved Technology (MIT) to Mitigate Interdependencies between Critical Infrastructures.,Claudio Balducelli;Antonio Di Pietro;Luisa Lavalle;Giordano Vicoli;,https://doi.org/10.1007/978-3-540-85571-2_2
dsn/wads2007,2007,Critical Infrastructures,Evaluation of Critical Infrastructures: Challenges and Viable Approaches.,Silvano Chiaradonna;Felicita Di Giandomenico;Paolo Lollini;,https://doi.org/10.1007/978-3-540-85571-2_3
dsn/wads2007,2007,Critical Infrastructures,Analysis of a Redundant Architecture for Critical Infrastructure Protection.,Alessandro Daidone;Silvano Chiaradonna;Andrea Bondavalli;Paulo Veríssimo;,https://doi.org/10.1007/978-3-540-85571-2_4
dsn/wads2007,2007,Critical Infrastructures,A Robust Semantic Overlay Network for Microgrid Control Applications.,Geert Deconinck;Koen Vanthournout;Hakem Beitollahi;Zhifeng Qui;Rui Duan;Bart Nauwelaers;Emmanuel Van Lil;Johan Driesen;Ronnie Belmans;,https://doi.org/10.1007/978-3-540-85571-2_5
dsn/wads2007,2007,Critical Infrastructures,Architecting Dependable and Secure Systems Using Virtualization.,Bernhard Jansen;HariGovind V. Ramasamy;Matthias Schunter;Axel Tanner;,https://doi.org/10.1007/978-3-540-85571-2_6
dsn/wads2007,2007,Rigorous Design/Fault Tolerance,Model-Based Approaches for Dependability in Ad-Hoc Mobile Networks and Services.,Gergely Pintér;Zoltán Micskei;András Kövi;Zoltán Égel;Imre Kocsis;Gábor Huszerl;András Pataricza;,https://doi.org/10.1007/978-3-540-85571-2_7
dsn/wads2007,2007,Rigorous Design/Fault Tolerance,"Design, Implementation and Deployment of State Machines Using a Generative Approach.",Graham N. C. Kirby;Alan Dearle;Stuart J. Norcross;,https://doi.org/10.1007/978-3-540-85571-2_8
dsn/wads2007,2007,Rigorous Design/Fault Tolerance,Handling Emergent Nondeterminism in Replicated Services.,Joseph G. Slember;Priya Narasimhan;,https://doi.org/10.1007/978-3-540-85571-2_9
dsn/wads2007,2007,Verification and Validation,Toward Architecture Evaluation through Ontology-Based Requirements-Level Scenarios.,Mamadou H. Diallo;Leila Naslavsky;Thomas A. Alspaugh;Hadar Ziv;Debra J. Richardson;,https://doi.org/10.1007/978-3-540-85571-2_10
dsn/wads2007,2007,Verification and Validation,Combining Formal Verification and Testing for Correct Legacy Component Integration in Mechatronic UML.,Holger Giese;Stefan Henkler;Martin Hirsch;,https://doi.org/10.1007/978-3-540-85571-2_11
dsn/wads2007,2007,Verification and Validation,Plug-and-Play Architectural Design and Verification.,Shangzhu Wang;George S. Avrunin;Lori A. Clarke;,https://doi.org/10.1007/978-3-540-85571-2_12
dsn/wads2007,2007,Verification and Validation,Data Flow-Based Validation of Web Services Compositions: Perspectives and Examples.,Cesare Bartolini;Antonia Bertolino;Eda Marchetti;Ioannis Parissis;,https://doi.org/10.1007/978-3-540-85571-2_13
dsn/wads2007,2007,Verification and Validation,Using Architecture Analysis to Evolve Complex Industrial Systems.,Tommy Kettu;Eckhard Kruse;Magnus Larsson;Goran Mustapic;,https://doi.org/10.1007/978-3-540-85571-2_14
