raid/raid2002,2002,Stepping Stone Detection,Detecting Long Connection Chains of Interactive Terminal Sessions.,Kwong H. Yung;,https://doi.org/10.1007/3-540-36084-0_1
raid/raid2002,2002,Stepping Stone Detection,Multiscale Stepping-Stone Detection: Detecting Pairs of Jittered Interactive Streams by Exploiting Maximum Tolerable Delay.,David L. Donoho;Ana Georgina Flesia;Umesh Shankar;Vern Paxson;Jason Coit;Stuart Staniford;,https://doi.org/10.1007/3-540-36084-0_2
raid/raid2002,2002,Stepping Stone Detection,Detecting Malicious Software by Monitoring Anomalous Windows Registry Accesses.,Frank Apap;Andrew Honig;Shlomo Hershkop;Eleazar Eskin;Salvatore J. Stolfo;,https://doi.org/10.1007/3-540-36084-0_3
raid/raid2002,2002,Anomaly Detection,Undermining an Anomaly-Based Intrusion Detection System Using Common Exploits.,Kymie M. C. Tan;Kevin S. Killourhy;Roy A. Maxion;,https://doi.org/10.1007/3-540-36084-0_4
raid/raid2002,2002,Correlation,Analyzing Intensive Intrusion Alerts via Correlation.,Peng Ning;Yun Cui;Douglas S. Reeves;,https://doi.org/10.1007/3-540-36084-0_5
raid/raid2002,2002,Correlation,A Mission-Impact-Based Approach to INFOSEC Alarm Correlation.,Phillip A. Porras;Martin W. Fong;Alfonso Valdes;,https://doi.org/10.1007/3-540-36084-0_6
raid/raid2002,2002,Correlation,M2D2: A Formal Data Model for IDS Alert Correlation.,Benjamin Morin;Ludovic Mé;Hervé Debar;Mireille Ducassé;,https://doi.org/10.1007/3-540-36084-0_7
raid/raid2002,2002,Legal Aspects / Intrusion Tolerance,Development of a Legal Framework for Intrusion Detection.,Steven R. Johnston;,https://doi.org/10.1007/3-540-36084-0_8
raid/raid2002,2002,Legal Aspects / Intrusion Tolerance,Learning Unknown Attacks - A Start.,James E. Just;James C. Reynolds;Larry A. Clough;Melissa Danforth;Karl N. Levitt;Ryan Maglich;Jeff Rowe;,https://doi.org/10.1007/3-540-36084-0_9
raid/raid2002,2002,Assessment of Intrusion Detection Systems,Evaluation of the Diagnostic Capabilities of Commercial Intrusion Detection Systems.,Hervé Debar;Benjamin Morin;,https://doi.org/10.1007/3-540-36084-0_10
raid/raid2002,2002,Assessment of Intrusion Detection Systems,A Stochastic Model for Intrusions.,Robert P. Goldman;,https://doi.org/10.1007/3-540-36084-0_11
raid/raid2002,2002,Assessment of Intrusion Detection Systems,Attacks Against Computer Network: Formal Grammar-Based Framework and Simulation Tool.,Vladimir I. Gorodetski;Igor V. Kotenko;,https://doi.org/10.1007/3-540-36084-0_12
raid/raid2002,2002,Assessment of Intrusion Detection Systems,Capacity Verification for High Speed Network Intrusion Detection Systems.,Mike Hall;Kevin Wiley;,https://doi.org/10.1007/3-540-36084-0_13
raid/raid2002,2002,Adaptive Intrusion Detection Systems,Performance Adaptation in Real-Time Intrusion Detection Systems.,Wenke Lee;João B. D. Cabrera;Ashley Thomas;Niranjan Balwalli;Sunmeet Saluja;Yi Zhang;,https://doi.org/10.1007/3-540-36084-0_14
raid/raid2002,2002,Intrusion Detection Analysis,Accurate Buffer Overflow Detection via Abstract Payload Execution.,Thomas Toth;Christopher Krügel;,https://doi.org/10.1007/3-540-36084-0_15
raid/raid2002,2002,Intrusion Detection Analysis,Introducing Reference Flow Control for Detecting Intrusion Symptoms at the OS Level.,Jacob Zimmermann;Ludovic Mé;Christophe Bidan;,https://doi.org/10.1007/3-540-36084-0_16
raid/raid2002,2002,Intrusion Detection Analysis,The Effect of Identifying Vulnerabilities and Patching Software on the Utility of Network Intrusion Detection.,Richard Lippmann;Seth E. Webster;Douglas Stetson;,https://doi.org/10.1007/3-540-36084-0_17
