dcc/dcc40,July 2006,Number 1,The Complete Determination of the Minimum Distance of Two-Point Codes on a Hermitian Curve.,Masaaki Homma;Seon Jeong Kim;,https://doi.org/10.1007/s10623-005-4599-y
dcc/dcc40,July 2006,Number 1,On the Number of Optimal Base 2 Representations of Integers.,Peter J. Grabner;Clemens Heuberger;,https://doi.org/10.1007/s10623-005-6158-y
dcc/dcc40,July 2006,Number 1,Basic Theory in Construction of Boolean Functions with Maximum Possible Annihilator Immunity.,Deepak Kumar Dalai;Subhamoy Maitra;Sumanta Sarkar;,https://doi.org/10.1007/s10623-005-6300-x
dcc/dcc40,July 2006,Number 1,Asymptotic Nonlinearity of Boolean Functions.,François Rodier;,https://doi.org/10.1007/s10623-005-6363-8
dcc/dcc40,July 2006,Number 1,Authentication Schemes from Highly Nonlinear Functions.,Claude Carlet;Cunsheng Ding;Harald Niederreiter;,https://doi.org/10.1007/s10623-005-6407-0
dcc/dcc40,July 2006,Number 1,"Basic Properties of the (t, n)-Threshold Visual Secret Sharing Scheme with Perfect Reconstruction of Black Pixels.",Hiroki Koga;Etsuyo Ueda;,https://doi.org/10.1007/s10623-005-6700-y
dcc/dcc40,July 2006,Number 1,Distributed Ring Signatures from General Dual Access Structures.,Javier Herranz;Germán Sáez;,https://doi.org/10.1007/s10623-005-6667-8
dcc/dcc40,July 2006,Number 1,Latin Squares without Orthogonal Mates.,Anthony B. Evans;,https://doi.org/10.1007/s10623-006-8153-3
dcc/dcc40,July 2006,Number 1,The Existence of Latin Squares without Orthogonal Mates.,Ian M. Wanless;Bridget S. Webb;,https://doi.org/10.1007/s10623-006-8168-9
dcc/dcc40,August 2006,Number 2,On the Construction of Permutation Arrays via Mappings from Binary Vectors to Permutations.,Yen-Ying Huang;Shi-Chun Tsai;Hsin-Lung Wu;,https://doi.org/10.1007/s10623-006-0003-9
dcc/dcc40,August 2006,Number 2,A Construction of Optimal Constant Composition Codes.,Cunsheng Ding;Jianxing Yin;,https://doi.org/10.1007/s10623-006-0004-8
dcc/dcc40,August 2006,Number 2,Constructions of External Difference Families and Disjoint Difference Families.,Yanxun Chang;Cunsheng Ding;,https://doi.org/10.1007/s10623-006-0005-7
dcc/dcc40,August 2006,Number 2,There are 1239 Steiner Triple Systems STS(31) of 2-rank 27.,Octavio Páez Osuna;,https://doi.org/10.1007/s10623-006-0006-6
dcc/dcc40,August 2006,Number 2,Generalised Cumulative Arrays in Secret Sharing.,Shoulun Long;Josef Pieprzyk;Huaxiong Wang;Duncan S. Wong;,https://doi.org/10.1007/s10623-006-0007-5
dcc/dcc40,August 2006,Number 2,"The Existence of (nu, 6, lambda)-Perfect Mendelsohn Designs with lambda > 1.",R. Julian R. Abel;Frank E. Bennett;,https://doi.org/10.1007/s10623-006-0008-4
dcc/dcc40,August 2006,Number 2,A Flaw in the Use of Minimal Defining Sets for Secret Sharing Schemes.,Mike J. Grannell;Terry S. Griggs;Anne Penfold Street;,https://doi.org/10.1007/s10623-006-0009-3
dcc/dcc40,August 2006,Number 2,Error Probabilities for Bounded Distance Decoding.,Andreas Faldum;Julio Lafuente;Gustavo Ochoa;Wolfgang Willems;,https://doi.org/10.1007/s10623-006-0010-x
dcc/dcc40,September 2006,Number 3,"Optimal (2, n) visual cryptographic schemes.",Mausumi Bose;Rahul Mukerjee;,https://doi.org/10.1007/s10623-006-0011-9
dcc/dcc40,September 2006,Number 3,The number of transversals in a Latin square.,Brendan D. McKay;Jeanette C. McLeod;Ian M. Wanless;,https://doi.org/10.1007/s10623-006-0012-8
dcc/dcc40,September 2006,Number 3,On the security of stepwise triangular systems.,Christopher Wolf;An Braeken;Bart Preneel;,https://doi.org/10.1007/s10623-006-0015-5
dcc/dcc40,September 2006,Number 3,GOB designs for authentication codes with arbitration.,Gennian Ge;Ying Miao;Lie Zhu;,https://doi.org/10.1007/s10623-006-0021-7
dcc/dcc40,September 2006,Number 3,On the classification of perfect codes: side class structures.,Olof Heden;Martin Hessler;,https://doi.org/10.1007/s10623-006-0024-4
dcc/dcc40,September 2006,Number 3,"The polynomial degree of the Grassmannian G(1, n, q) of lines in finite projective space PG(n, q).",David G. Glynn;Johannes G. Maks;Rey Casse;,https://doi.org/10.1007/s10623-006-0028-0
dcc/dcc40,September 2006,Number 3,LDPC codes generated by conics in the classical projective plane.,Sean V. Droms;Keith E. Mellinger;Chris Meyer;,https://doi.org/10.1007/s10623-006-0022-6
dcc/dcc40,September 2006,Number 3,Fast decoding of quasi-perfect Lee distance codes.,Peter Horák;Bader F. AlBdaiwi;,https://doi.org/10.1007/s10623-006-0025-3
dcc/dcc40,September 2006,Number 3,On the k-error linear complexity over \mathbbFp of Legendre and Sidelnikov sequences.,Hassan Aly;Arne Winterhof;,https://doi.org/10.1007/s10623-006-0023-5
